method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;15391;0;9243;79
WithoutMetaModel;0;0;4804;0;3042;26
WithoutMetaModel;0;0;20244;0;12168;104
WithoutMetaModel;0;0;9658;0;6084;52
WithoutMetaModel;0;0;69824;0;41184;352
WithoutMetaModel;0;0;29495;0;17550;150
WithoutMetaModel;0;0;5070;0;3159;27
WithoutMetaModel;0;0;448;0;351;3
WithoutMetaModel;0;0;8092;0;4914;42
WithoutMetaModel;0;0;10469;0;6435;55
WithoutMetaModel;0;0;21871;0;13104;112
WithoutMetaModel;0;0;48098;0;28431;243
WithoutMetaModel;0;0;4094;0;2574;22
WithoutMetaModel;0;0;2165;0;1404;12
WithoutMetaModel;0;0;5088;0;3159;27
WithoutMetaModel;0;0;22004;0;13221;113
WithoutMetaModel;0;0;14848;0;9126;78
WithoutMetaModel;0;0;5074;0;3159;27
WithoutMetaModel;0;0;6549;0;4095;35
WithoutMetaModel;0;0;27121;0;16146;138
WithoutMetaModel;0;0;1853;0;1287;11
WithoutMetaModel;0;0;18837;0;11232;96
WithoutMetaModel;0;0;45863;0;27027;231
WithoutMetaModel;0;0;3445;0;2223;19
WithoutMetaModel;0;0;20117;0;12051;103
WithoutMetaModel;0;0;32271;0;19305;165
WithoutMetaModel;0;0;10017;0;6201;53
WithoutMetaModel;0;0;41338;0;24687;211
WithoutMetaModel;0;0;1706;0;1170;10
WithoutMetaModel;0;0;9471;0;5850;50
WithoutMetaModel;0;0;5652;0;3510;30
WithoutMetaModel;0;0;1890;0;1287;11
WithoutMetaModel;0;0;3287;0;2106;18
WithoutMetaModel;0;0;728;0;585;5
WithoutMetaModel;0;0;1917;0;1287;11
WithoutMetaModel;0;0;9131;0;5616;48
WithoutMetaModel;0;0;24674;0;14742;126
WithoutMetaModel;0;0;509;0;468;4
WithoutMetaModel;0;0;5706;0;3510;30
WithoutMetaModel;0;0;16120;0;9711;83
WithoutMetaModel;0;0;9939;0;6084;52
WithoutMetaModel;0;0;30820;0;18486;158
WithoutMetaModel;0;0;22154;0;13221;113
WithoutMetaModel;0;0;2664;0;1755;15
WithoutMetaModel;0;0;6717;0;4095;35
WithoutMetaModel;0;0;14235;0;8775;75
WithoutMetaModel;0;0;11603;0;6903;59
WithoutMetaModel;0;0;16678;0;10062;86
WithoutMetaModel;0;0;14792;0;8892;76
WithoutMetaModel;0;0;5148;0;3159;27
WithoutMetaModel;0;0;6308;0;3861;33
WithoutMetaModel;0;0;53106;0;31590;270
WithoutMetaModel;0;0;20973;0;12519;107
WithoutMetaModel;0;0;16926;0;10062;86
WithoutMetaModel;0;0;8523;0;5265;45
WithoutMetaModel;0;0;17228;0;10179;87
WithoutMetaModel;0;0;1553;0;1053;9
WithoutMetaModel;0;0;13209;0;7956;68
WithoutMetaModel;0;0;3394;0;2106;18
