method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;16245;0;9828;84
WithoutMetaModel;0;0;5225;0;3276;28
WithoutMetaModel;0;0;737;0;585;5
WithoutMetaModel;0;0;21865;0;12987;111
WithoutMetaModel;0;0;24619;0;14742;126
WithoutMetaModel;0;0;8631;0;5382;46
WithoutMetaModel;0;0;13466;0;8190;70
WithoutMetaModel;0;0;38823;0;23166;198
WithoutMetaModel;0;0;5041;0;3159;27
WithoutMetaModel;0;0;4492;0;2808;24
WithoutMetaModel;0;0;36540;0;21762;186
WithoutMetaModel;0;0;7875;0;4914;42
WithoutMetaModel;0;0;10361;0;6318;54
WithoutMetaModel;0;0;5766;0;3627;31
WithoutMetaModel;0;0;388;0;351;3
WithoutMetaModel;0;0;10595;0;6552;56
WithoutMetaModel;0;0;22806;0;13572;116
WithoutMetaModel;0;0;29442;0;17433;149
WithoutMetaModel;0;0;10525;0;6435;55
WithoutMetaModel;0;0;7412;0;4563;39
WithoutMetaModel;0;0;15635;0;9477;81
WithoutMetaModel;0;0;41019;0;24336;208
WithoutMetaModel;0;0;29343;0;17433;149
WithoutMetaModel;0;0;24948;0;14859;127
WithoutMetaModel;0;0;27268;0;16263;139
WithoutMetaModel;0;0;16423;0;9945;85
WithoutMetaModel;0;0;14338;0;8658;74
WithoutMetaModel;0;0;4241;0;2691;23
WithoutMetaModel;0;0;7066;0;4446;38
WithoutMetaModel;0;0;9727;0;5967;51
WithoutMetaModel;0;0;6183;0;3861;33
WithoutMetaModel;0;0;5766;0;3627;31
WithoutMetaModel;0;0;25352;0;15210;130
WithoutMetaModel;0;0;19841;0;12051;103
WithoutMetaModel;0;0;27684;0;16614;142
WithoutMetaModel;0;0;25263;0;15093;129
WithoutMetaModel;0;0;1909;0;1287;11
WithoutMetaModel;0;0;34260;0;20475;175
WithoutMetaModel;0;0;18933;0;11349;97
WithoutMetaModel;0;0;33303;0;19773;169
WithoutMetaModel;0;0;29490;0;17550;150
WithoutMetaModel;0;0;6791;0;4212;36
WithoutMetaModel;0;0;15582;0;9360;80
WithoutMetaModel;0;0;3512;0;2223;19
WithoutMetaModel;0;0;614;0;468;4
WithoutMetaModel;0;0;25802;0;15444;132
WithoutMetaModel;0;0;3506;0;2223;19
WithoutMetaModel;0;0;15692;0;9477;81
WithoutMetaModel;0;0;1109;0;819;7
WithoutMetaModel;0;0;5874;0;3627;31
WithoutMetaModel;0;0;2007;0;1404;12
WithoutMetaModel;0;0;22628;0;13572;116
WithoutMetaModel;0;0;17506;0;10530;90
WithoutMetaModel;0;0;11198;0;6786;58
WithoutMetaModel;0;0;12040;0;7254;62
WithoutMetaModel;0;0;41161;0;24219;207
WithoutMetaModel;0;0;7361;0;4563;39
WithoutMetaModel;0;0;20504;0;12285;105
WithoutMetaModel;0;0;2447;0;1638;14
WithoutMetaModel;0;0;16521;0;9828;84
WithoutMetaModel;0;0;21176;0;12636;108
WithoutMetaModel;0;0;13253;0;8073;69
WithoutMetaModel;0;0;27485;0;16497;141
WithoutMetaModel;0;0;7630;0;4680;40
WithoutMetaModel;0;0;6452;0;3978;34
WithoutMetaModel;0;0;17436;0;10530;90
WithoutMetaModel;0;0;2669;0;1755;15
WithoutMetaModel;0;0;10440;0;6318;54
WithoutMetaModel;0;0;6079;0;3861;33
WithoutMetaModel;0;0;417;0;351;3
WithoutMetaModel;0;0;20209;0;12168;104
WithoutMetaModel;0;0;16829;0;10179;87
WithoutMetaModel;0;0;956;0;702;6
WithoutMetaModel;0;0;5474;0;3393;29
WithoutMetaModel;0;0;30217;0;17901;153
WithoutMetaModel;0;0;5568;0;3510;30
WithoutMetaModel;0;0;23373;0;13923;119
WithoutMetaModel;0;0;4259;0;2691;23
WithoutMetaModel;0;0;12717;0;7722;66
WithoutMetaModel;0;0;2551;0;1638;14
WithoutMetaModel;0;0;1541;0;1170;10
WithoutMetaModel;0;0;700;0;585;5
WithoutMetaModel;0;0;10151;0;6201;53
WithoutMetaModel;0;0;27687;0;16614;142
WithoutMetaModel;0;0;2926;0;1989;17
WithoutMetaModel;0;0;2713;0;1755;15
WithoutMetaModel;0;0;58164;0;34515;295
WithoutMetaModel;0;0;5465;0;3393;29
WithoutMetaModel;0;0;29107;0;17433;149
WithoutMetaModel;0;0;20956;0;12519;107
WithoutMetaModel;0;0;3749;0;2340;20
WithoutMetaModel;0;0;32417;0;19305;165
WithoutMetaModel;0;0;9243;0;5733;49
WithoutMetaModel;0;0;7126;0;4446;38
WithoutMetaModel;0;0;1941;0;1287;11
WithoutMetaModel;0;0;4493;0;2925;25
WithoutMetaModel;0;0;3979;0;2574;22
WithoutMetaModel;0;0;24842;0;14976;128
WithoutMetaModel;0;0;9712;0;5850;50
WithoutMetaModel;0;0;1671;0;1170;10
WithoutMetaModel;0;0;1841;0;1287;11
WithoutMetaModel;0;0;29311;0;17433;149
WithoutMetaModel;0;0;49332;0;29133;249
WithoutMetaModel;0;0;1573;0;1053;9
WithoutMetaModel;0;0;7258;0;4446;38
WithoutMetaModel;0;0;2061;0;1404;12
WithoutMetaModel;0;0;7749;0;4680;40
WithoutMetaModel;0;0;7733;0;4797;41
WithoutMetaModel;0;0;4791;0;3042;26
WithoutMetaModel;0;0;11552;0;7137;61
WithoutMetaModel;0;0;780;0;585;5
WithoutMetaModel;0;0;542;0;468;4
WithoutMetaModel;0;0;4035;0;2574;22
WithoutMetaModel;0;0;12426;0;7488;64
WithoutMetaModel;0;0;39849;0;23634;202
WithoutMetaModel;0;0;4160;0;2691;23
WithoutMetaModel;0;0;2017;0;1287;11
WithoutMetaModel;0;0;18036;0;10764;92
WithoutMetaModel;0;0;6854;0;4212;36
WithoutMetaModel;0;0;5880;0;3627;31
WithoutMetaModel;0;0;4918;0;3042;26
WithoutMetaModel;0;0;5517;0;3393;29
WithoutMetaModel;0;0;11561;0;6903;59
WithoutMetaModel;0;0;7543;0;4680;40
WithoutMetaModel;0;0;9114;0;5499;47
WithoutMetaModel;0;0;27718;0;16497;141
WithoutMetaModel;0;0;13471;0;8190;70
WithoutMetaModel;0;0;11322;0;6903;59
WithoutMetaModel;0;0;7674;0;4680;40
WithoutMetaModel;0;0;1691;0;1170;10
WithoutMetaModel;0;0;713;0;585;5
WithoutMetaModel;0;0;16039;0;9711;83
WithoutMetaModel;0;0;18266;0;10998;94
WithoutMetaModel;0;0;7348;0;4563;39
WithoutMetaModel;0;0;11968;0;7371;63
WithoutMetaModel;0;0;11705;0;7020;60
WithoutMetaModel;0;0;19977;0;11934;102
WithoutMetaModel;0;0;9393;0;5733;49
WithoutMetaModel;0;0;18775;0;11349;97
WithoutMetaModel;0;0;19324;0;11583;99
WithoutMetaModel;0;0;16032;0;9711;83
WithoutMetaModel;0;0;5740;0;3627;31
WithoutMetaModel;0;0;12623;0;7722;66
WithoutMetaModel;0;0;8847;0;5499;47
WithoutMetaModel;0;0;34244;0;20475;175
WithoutMetaModel;0;0;1310;0;936;8
WithoutMetaModel;0;0;2427;0;1638;14
WithoutMetaModel;0;0;921;0;702;6
WithoutMetaModel;0;0;3526;0;2340;20
WithoutMetaModel;0;0;41479;0;24687;211
WithoutMetaModel;0;0;7706;0;4797;41
WithoutMetaModel;0;0;18482;0;11115;95
WithoutMetaModel;0;0;18465;0;11115;95
WithoutMetaModel;0;0;11274;0;6786;58
WithoutMetaModel;0;0;24680;0;14742;126
WithoutMetaModel;0;0;15668;0;9477;81
