method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;21013;0;12636;108
WithoutMetaModel;0;0;6430;0;3978;34
WithoutMetaModel;0;0;10113;0;6201;53
WithoutMetaModel;0;0;4227;0;2691;23
WithoutMetaModel;0;0;6913;0;4329;37
WithoutMetaModel;0;0;5660;0;3627;31
WithoutMetaModel;0;0;2194;0;1521;13
WithoutMetaModel;0;0;28712;0;17082;146
WithoutMetaModel;0;0;8055;0;4914;42
WithoutMetaModel;0;0;16654;0;10062;86
WithoutMetaModel;0;0;1938;0;1287;11
WithoutMetaModel;0;0;5172;0;3276;28
WithoutMetaModel;0;0;8792;0;5382;46
WithoutMetaModel;0;0;6025;0;3744;32
WithoutMetaModel;0;0;16722;0;9945;85
WithoutMetaModel;0;0;6132;0;3861;33
WithoutMetaModel;0;0;6041;0;3744;32
WithoutMetaModel;0;0;24700;0;14742;126
WithoutMetaModel;0;0;6835;0;4212;36
WithoutMetaModel;0;0;13539;0;8190;70
WithoutMetaModel;0;0;3683;0;2340;20
WithoutMetaModel;0;0;3281;0;2106;18
WithoutMetaModel;0;0;15270;0;9126;78
WithoutMetaModel;0;0;1841;0;1287;11
WithoutMetaModel;0;0;3634;0;2340;20
WithoutMetaModel;0;0;26569;0;15912;136
WithoutMetaModel;0;0;15902;0;9477;81
WithoutMetaModel;0;0;19519;0;11817;101
WithoutMetaModel;0;0;2522;0;1638;14
WithoutMetaModel;0;0;21651;0;12987;111
WithoutMetaModel;0;0;32141;0;19305;165
WithoutMetaModel;0;0;24455;0;14625;125
WithoutMetaModel;0;0;9679;0;5967;51
WithoutMetaModel;0;0;2429;0;1638;14
WithoutMetaModel;0;0;6116;0;3861;33
WithoutMetaModel;0;0;26149;0;15795;135
WithoutMetaModel;0;0;7333;0;4563;39
WithoutMetaModel;0;0;4413;0;2808;24
WithoutMetaModel;0;0;16083;0;9594;82
WithoutMetaModel;0;0;3102;0;1989;17
WithoutMetaModel;0;0;23352;0;13923;119
WithoutMetaModel;0;0;2566;0;1755;15
WithoutMetaModel;0;0;13793;0;8307;71
WithoutMetaModel;0;0;18427;0;11115;95
WithoutMetaModel;0;0;3744;0;2457;21
WithoutMetaModel;0;0;10319;0;6318;54
WithoutMetaModel;0;0;4239;0;2691;23
WithoutMetaModel;0;0;27526;0;16380;140
WithoutMetaModel;0;0;18257;0;10998;94
WithoutMetaModel;0;0;10859;0;6669;57
WithoutMetaModel;0;0;2597;0;1755;15
WithoutMetaModel;0;0;11483;0;7020;60
WithoutMetaModel;0;0;16596;0;10062;86
WithoutMetaModel;0;0;8661;0;5265;45
WithoutMetaModel;0;0;9113;0;5499;47
WithoutMetaModel;0;0;13901;0;8424;72
WithoutMetaModel;0;0;2235;0;1521;13
WithoutMetaModel;0;0;6339;0;3978;34
WithoutMetaModel;0;0;1237;0;936;8
WithoutMetaModel;0;0;21105;0;12636;108
WithoutMetaModel;0;0;1123;0;819;7
WithoutMetaModel;0;0;2204;0;1521;13
WithoutMetaModel;0;0;15556;0;9243;79
WithoutMetaModel;0;0;8627;0;5265;45
WithoutMetaModel;0;0;35498;0;21060;180
WithoutMetaModel;0;0;553;0;468;4
WithoutMetaModel;0;0;36045;0;21411;183
WithoutMetaModel;0;0;7819;0;4797;41
WithoutMetaModel;0;0;24655;0;14625;125
WithoutMetaModel;0;0;22384;0;13338;114
WithoutMetaModel;0;0;7476;0;4680;40
WithoutMetaModel;0;0;7024;0;4329;37
WithoutMetaModel;0;0;5741;0;3510;30
WithoutMetaModel;0;0;24567;0;14742;126
WithoutMetaModel;0;0;8336;0;5148;44
WithoutMetaModel;0;0;52307;0;30771;263
WithoutMetaModel;0;0;23730;0;14274;122
WithoutMetaModel;0;0;32480;0;19422;166
WithoutMetaModel;0;0;5768;0;3627;31
WithoutMetaModel;0;0;2238;0;1521;13
WithoutMetaModel;0;0;10376;0;6435;55
WithoutMetaModel;0;0;7533;0;4563;39
WithoutMetaModel;0;0;19906;0;12051;103
WithoutMetaModel;0;0;26710;0;16029;137
WithoutMetaModel;0;0;50294;0;29952;256
WithoutMetaModel;0;0;7412;0;4446;38
WithoutMetaModel;0;0;17890;0;10647;91
WithoutMetaModel;0;0;15277;0;9243;79
WithoutMetaModel;0;0;15430;0;9243;79
WithoutMetaModel;0;0;1119;0;819;7
WithoutMetaModel;0;0;6268;0;3861;33
WithoutMetaModel;0;0;7320;0;4446;38
WithoutMetaModel;0;0;44388;0;26325;225
WithoutMetaModel;0;0;4851;0;3042;26
WithoutMetaModel;0;0;1258;0;936;8
WithoutMetaModel;0;0;28142;0;16731;143
WithoutMetaModel;0;0;8136;0;5031;43
WithoutMetaModel;0;0;17251;0;10413;89
WithoutMetaModel;0;0;15540;0;9360;80
WithoutMetaModel;0;0;3022;0;1989;17
WithoutMetaModel;0;0;8145;0;5148;44
WithoutMetaModel;0;0;6739;0;4212;36
WithoutMetaModel;0;0;11125;0;6786;58
WithoutMetaModel;0;0;9478;0;5733;49
WithoutMetaModel;0;0;20833;0;12402;106
WithoutMetaModel;0;0;9088;0;5499;47
WithoutMetaModel;0;0;9151;0;5616;48
WithoutMetaModel;0;0;3230;0;2106;18
WithoutMetaModel;0;0;23877;0;14274;122
WithoutMetaModel;0;0;44111;0;26442;226
WithoutMetaModel;0;0;32006;0;18954;162
WithoutMetaModel;0;0;11836;0;7137;61
WithoutMetaModel;0;0;17911;0;10881;93
WithoutMetaModel;0;0;7912;0;4914;42
WithoutMetaModel;0;0;14697;0;8892;76
