method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
SVCCVBestSlidingWeighted;188;993;13493;16830;14791;187
SVCCVBestSlidingWeighted;74;377;5077;6570;5689;73
SVCCVBestSlidingWeighted;149;817;10389;13320;11431;148
SVCCVBestSlidingWeighted;89;503;6266;7920;6899;88
SVCCVBestSlidingWeighted;61;387;4726;5400;5165;60
SVCCVBestSlidingWeighted;25;215;2186;2160;2311;24
SVCCVBestSlidingWeighted;60;339;4056;5310;4573;59
SVCCVBestSlidingWeighted;10;141;1155;810;1164;9
SVCCVBestSlidingWeighted;192;1066;13526;17190;14888;191
SVCCVBestSlidingWeighted;101;604;7485;9000;8168;100
SVCCVBestSlidingWeighted;74;423;5314;6570;5872;73
SVCCVBestSlidingWeighted;8;97;833;630;864;7
SVCCVBestSlidingWeighted;33;186;2455;2880;2703;32
SVCCVBestSlidingWeighted;137;673;9168;12240;10240;136
SVCCVBestSlidingWeighted;105;563;7696;9360;8383;104
SVCCVBestSlidingWeighted;71;381;5084;6300;5618;70
SVCCVBestSlidingWeighted;95;432;6435;8460;7228;94
SVCCVBestSlidingWeighted;24;237;2148;2070;2279;23
SVCCVBestSlidingWeighted;36;234;2827;3150;3053;35
SVCCVBestSlidingWeighted;31;180;2421;2700;2650;30
SVCCVBestSlidingWeighted;4;4;366;270;393;3
SVCCVBestSlidingWeighted;117;836;9136;10440;9807;116
SVCCVBestSlidingWeighted;76;403;5240;6750;5795;75
SVCCVBestSlidingWeighted;260;1369;18253;23310;20067;259
SVCCVBestSlidingWeighted;19;170;1639;1620;1738;18
SVCCVBestSlidingWeighted;62;300;4224;5490;4735;61
SVCCVBestSlidingWeighted;9;105;999;720;1019;8
SVCCVBestSlidingWeighted;46;229;3350;4050;3718;45
SVCCVBestSlidingWeighted;21;163;1805;1800;1962;20
SVCCVBestSlidingWeighted;43;195;2920;3780;3296;42
SVCCVBestSlidingWeighted;111;672;8012;9900;8802;110
SVCCVBestSlidingWeighted;32;229;2529;2790;2725;31
