method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;18631;0;11232;96
WithoutMetaModel;0;0;16682;0;10062;86
WithoutMetaModel;0;0;2834;0;1872;16
WithoutMetaModel;0;0;4044;0;2574;22
WithoutMetaModel;0;0;13366;0;8190;70
WithoutMetaModel;0;0;17560;0;10647;91
WithoutMetaModel;0;0;17521;0;10413;89
WithoutMetaModel;0;0;28112;0;16848;144
WithoutMetaModel;0;0;12568;0;7605;65
WithoutMetaModel;0;0;10963;0;6786;58
WithoutMetaModel;0;0;22911;0;13689;117
WithoutMetaModel;0;0;5082;0;3159;27
WithoutMetaModel;0;0;2904;0;1989;17
WithoutMetaModel;0;0;21689;0;12987;111
WithoutMetaModel;0;0;50674;0;29952;256
WithoutMetaModel;0;0;26650;0;16029;137
WithoutMetaModel;0;0;19842;0;11934;102
WithoutMetaModel;0;0;8626;0;5265;45
WithoutMetaModel;0;0;2288;0;1521;13
WithoutMetaModel;0;0;4441;0;2808;24
WithoutMetaModel;0;0;19489;0;11700;100
WithoutMetaModel;0;0;17737;0;10764;92
WithoutMetaModel;0;0;9287;0;5616;48
WithoutMetaModel;0;0;19263;0;11583;99
WithoutMetaModel;0;0;9429;0;5616;48
WithoutMetaModel;0;0;33836;0;20241;173
WithoutMetaModel;0;0;32871;0;19305;165
WithoutMetaModel;0;0;1716;0;1170;10
WithoutMetaModel;0;0;61306;0;36621;313
WithoutMetaModel;0;0;1692;0;1170;10
WithoutMetaModel;0;0;38520;0;23049;197
WithoutMetaModel;0;0;30404;0;18135;155
WithoutMetaModel;0;0;3042;0;1989;17
WithoutMetaModel;0;0;7563;0;4680;40
WithoutMetaModel;0;0;26236;0;15561;133
WithoutMetaModel;0;0;2632;0;1755;15
WithoutMetaModel;0;0;2453;0;1638;14
WithoutMetaModel;0;0;9343;0;5733;49
WithoutMetaModel;0;0;1756;0;1170;10
WithoutMetaModel;0;0;3444;0;2223;19
WithoutMetaModel;0;0;15160;0;9126;78
WithoutMetaModel;0;0;3313;0;2106;18
WithoutMetaModel;0;0;57590;0;34047;291
WithoutMetaModel;0;0;25217;0;14976;128
WithoutMetaModel;0;0;59972;0;35334;302
WithoutMetaModel;0;0;37215;0;22113;189
WithoutMetaModel;0;0;19654;0;11817;101
WithoutMetaModel;0;0;15363;0;9243;79
WithoutMetaModel;0;0;5879;0;3627;31
WithoutMetaModel;0;0;24119;0;14391;123
SVCSlidingWeighted;32;24;2439;1550;2267;0
SVCSlidingWeighted;243;153;18188;12100;16201;0
SVCSlidingWeighted;62;29;4658;3050;4190;0
SVCSlidingWeighted;159;112;11983;7900;10855;0
SVCSlidingWeighted;106;78;7965;5250;7154;0
SVCSlidingWeighted;594;386;44334;29650;39276;0
SVCSlidingWeighted;123;96;9238;6100;8228;0
SVCSlidingWeighted;387;233;28950;19300;25891;0
SVCSlidingWeighted;91;59;6823;4500;6143;0
SVCSlidingWeighted;65;35;4884;3200;4466;0
SVCSlidingWeighted;78;58;5885;3850;5300;0
SVCSlidingWeighted;8;0;601;350;604;0
SVCSlidingWeighted;9;6;687;400;661;0
SVCSlidingWeighted;262;165;19546;13050;17565;0
SVCSlidingWeighted;137;102;10318;6800;9193;0
