method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;1093;0;819;7
WithoutMetaModel;0;0;33602;0;19890;170
WithoutMetaModel;0;0;1148;0;819;7
WithoutMetaModel;0;0;7620;0;4680;40
WithoutMetaModel;0;0;18429;0;11115;95
WithoutMetaModel;0;0;10551;0;6435;55
WithoutMetaModel;0;0;35569;0;20943;179
WithoutMetaModel;0;0;6332;0;3861;33
WithoutMetaModel;0;0;1699;0;1170;10
WithoutMetaModel;0;0;1247;0;936;8
WithoutMetaModel;0;0;15441;0;9243;79
WithoutMetaModel;0;0;3104;0;1989;17
WithoutMetaModel;0;0;9949;0;6084;52
WithoutMetaModel;0;0;2785;0;1872;16
WithoutMetaModel;0;0;965;0;702;6
WithoutMetaModel;0;0;16370;0;9945;85
WithoutMetaModel;0;0;39107;0;23283;199
WithoutMetaModel;0;0;1514;0;1053;9
WithoutMetaModel;0;0;2851;0;1872;16
WithoutMetaModel;0;0;2137;0;1521;13
WithoutMetaModel;0;0;954;0;702;6
WithoutMetaModel;0;0;6151;0;3861;33
WithoutMetaModel;0;0;24116;0;14391;123
WithoutMetaModel;0;0;1832;0;1287;11
WithoutMetaModel;0;0;10245;0;6435;55
WithoutMetaModel;0;0;10511;0;6318;54
WithoutMetaModel;0;0;5094;0;3159;27
WithoutMetaModel;0;0;18569;0;11232;96
WithoutMetaModel;0;0;13138;0;7956;68
WithoutMetaModel;0;0;9305;0;5733;49
WithoutMetaModel;0;0;29082;0;17316;148
WithoutMetaModel;0;0;6586;0;4095;35
WithoutMetaModel;0;0;4001;0;2574;22
WithoutMetaModel;0;0;13375;0;8073;69
WithoutMetaModel;0;0;12807;0;7722;66
WithoutMetaModel;0;0;23670;0;14274;122
WithoutMetaModel;0;0;14669;0;8892;76
WithoutMetaModel;0;0;31679;0;18954;162
WithoutMetaModel;0;0;10964;0;6669;57
WithoutMetaModel;0;0;7355;0;4446;38
WithoutMetaModel;0;0;4642;0;2925;25
WithoutMetaModel;0;0;18115;0;10881;93
WithoutMetaModel;0;0;927;0;702;6
WithoutMetaModel;0;0;26757;0;15912;136
WithoutMetaModel;0;0;17345;0;10413;89
WithoutMetaModel;0;0;12840;0;7956;68
WithoutMetaModel;0;0;11836;0;7137;61
WithoutMetaModel;0;0;18071;0;10881;93
WithoutMetaModel;0;0;4386;0;2808;24
WithoutMetaModel;0;0;6791;0;4212;36
WithoutMetaModel;0;0;16351;0;9945;85
WithoutMetaModel;0;0;13283;0;8073;69
WithoutMetaModel;0;0;14490;0;8892;76
