method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;2791;0;1872;16
WithoutMetaModel;0;0;19034;0;11349;97
WithoutMetaModel;0;0;2234;0;1521;13
WithoutMetaModel;0;0;6935;0;4329;37
WithoutMetaModel;0;0;2102;0;1404;12
WithoutMetaModel;0;0;6727;0;4212;36
WithoutMetaModel;0;0;522;0;468;4
WithoutMetaModel;0;0;410;0;351;3
WithoutMetaModel;0;0;1483;0;1053;9
WithoutMetaModel;0;0;8395;0;5265;45
WithoutMetaModel;0;0;1555;0;1053;9
WithoutMetaModel;0;0;7356;0;4563;39
WithoutMetaModel;0;0;14648;0;8892;76
WithoutMetaModel;0;0;8361;0;5265;45
WithoutMetaModel;0;0;13984;0;8424;72
WithoutMetaModel;0;0;5490;0;3393;29
WithoutMetaModel;0;0;4259;0;2691;23
WithoutMetaModel;0;0;2997;0;1989;17
WithoutMetaModel;0;0;20419;0;12285;105
WithoutMetaModel;0;0;33033;0;19539;167
WithoutMetaModel;0;0;567;0;468;4
WithoutMetaModel;0;0;11362;0;7020;60
WithoutMetaModel;0;0;25542;0;15210;130
WithoutMetaModel;0;0;1325;0;936;8
WithoutMetaModel;0;0;12501;0;7605;65
WithoutMetaModel;0;0;1912;0;1287;11
WithoutMetaModel;0;0;6580;0;4095;35
WithoutMetaModel;0;0;15602;0;9360;80
WithoutMetaModel;0;0;2090;0;1404;12
WithoutMetaModel;0;0;8609;0;5265;45
WithoutMetaModel;0;0;12941;0;7839;67
WithoutMetaModel;0;0;973;0;702;6
WithoutMetaModel;0;0;26172;0;15444;132
WithoutMetaModel;0;0;39039;0;23049;197
WithoutMetaModel;0;0;9313;0;5733;49
WithoutMetaModel;0;0;2455;0;1638;14
WithoutMetaModel;0;0;12934;0;7956;68
WithoutMetaModel;0;0;2266;0;1521;13
WithoutMetaModel;0;0;4613;0;2925;25
WithoutMetaModel;0;0;17895;0;10764;92
WithoutMetaModel;0;0;18288;0;10998;94
WithoutMetaModel;0;0;7291;0;4563;39
WithoutMetaModel;0;0;6691;0;4212;36
WithoutMetaModel;0;0;32763;0;19539;167
WithoutMetaModel;0;0;6967;0;4329;37
WithoutMetaModel;0;0;433;0;351;3
WithoutMetaModel;0;0;2447;0;1638;14
WithoutMetaModel;0;0;10853;0;6669;57
WithoutMetaModel;0;0;3455;0;2223;19
WithoutMetaModel;0;0;1407;0;1053;9
WithoutMetaModel;0;0;3225;0;2106;18
WithoutMetaModel;0;0;35775;0;21294;182
WithoutMetaModel;0;0;65210;0;38727;331
WithoutMetaModel;0;0;16168;0;9477;81
WithoutMetaModel;0;0;1922;0;1287;11
WithoutMetaModel;0;0;2723;0;1872;16
WithoutMetaModel;0;0;11846;0;7254;62
WithoutMetaModel;0;0;39394;0;23400;200
WithoutMetaModel;0;0;1745;0;1170;10
WithoutMetaModel;0;0;8592;0;5265;45
WithoutMetaModel;0;0;3707;0;2457;21
WithoutMetaModel;0;0;39159;0;23283;199
WithoutMetaModel;0;0;410;0;351;3
WithoutMetaModel;0;0;569;0;468;4
WithoutMetaModel;0;0;1224;0;936;8
WithoutMetaModel;0;0;14705;0;8892;76
WithoutMetaModel;0;0;3535;0;2340;20
WithoutMetaModel;0;0;36728;0;21996;188
WithoutMetaModel;0;0;8254;0;5031;43
WithoutMetaModel;0;0;4465;0;2808;24
WithoutMetaModel;0;0;17376;0;10413;89
WithoutMetaModel;0;0;16800;0;10179;87
WithoutMetaModel;0;0;589;0;468;4
WithoutMetaModel;0;0;13345;0;8073;69
WithoutMetaModel;0;0;541;0;468;4
WithoutMetaModel;0;0;765;0;585;5
WithoutMetaModel;0;0;507;0;468;4
WithoutMetaModel;0;0;8636;0;5265;45
WithoutMetaModel;0;0;2798;0;1755;15
WithoutMetaModel;0;0;589;0;468;4
WithoutMetaModel;0;0;6005;0;3744;32
WithoutMetaModel;0;0;25174;0;15093;129
WithoutMetaModel;0;0;10394;0;6318;54
WithoutMetaModel;0;0;23018;0;13923;119
WithoutMetaModel;0;0;5794;0;3627;31
WithoutMetaModel;0;0;7452;0;4563;39
WithoutMetaModel;0;0;31053;0;18603;159
WithoutMetaModel;0;0;53866;0;32058;274
WithoutMetaModel;0;0;2035;0;1404;12
WithoutMetaModel;0;0;2830;0;1872;16
WithoutMetaModel;0;0;1308;0;936;8
WithoutMetaModel;0;0;706;0;585;5
WithoutMetaModel;0;0;8263;0;5031;43
WithoutMetaModel;0;0;2886;0;1872;16
WithoutMetaModel;0;0;34655;0;20709;177
WithoutMetaModel;0;0;3921;0;2574;22
WithoutMetaModel;0;0;11036;0;6669;57
WithoutMetaModel;0;0;10617;0;6435;55
WithoutMetaModel;0;0;12620;0;7722;66
WithoutMetaModel;0;0;11586;0;6903;59
WithoutMetaModel;0;0;3653;0;2340;20
WithoutMetaModel;0;0;6313;0;3978;34
WithoutMetaModel;0;0;27249;0;16263;139
WithoutMetaModel;0;0;1904;0;1287;11
WithoutMetaModel;0;0;21009;0;12636;108
WithoutMetaModel;0;0;11898;0;7137;61
WithoutMetaModel;0;0;9209;0;5616;48
WithoutMetaModel;0;0;22067;0;13221;113
WithoutMetaModel;0;0;4313;0;2691;23
WithoutMetaModel;0;0;6412;0;3978;34
WithoutMetaModel;0;0;6980;0;4212;36
WithoutMetaModel;0;0;8469;0;5265;45
WithoutMetaModel;0;0;13510;0;8190;70
WithoutMetaModel;0;0;15856;0;9594;82
WithoutMetaModel;0;0;1126;0;819;7
WithoutMetaModel;0;0;2550;0;1638;14
WithoutMetaModel;0;0;8866;0;5499;47
WithoutMetaModel;0;0;4411;0;2808;24
WithoutMetaModel;0;0;17917;0;10881;93
WithoutMetaModel;0;0;11126;0;6786;58
WithoutMetaModel;0;0;11776;0;7020;60
WithoutMetaModel;0;0;10788;0;6552;56
WithoutMetaModel;0;0;36049;0;21411;183
WithoutMetaModel;0;0;10484;0;6435;55
WithoutMetaModel;0;0;3008;0;1989;17
WithoutMetaModel;0;0;2139;0;1521;13
WithoutMetaModel;0;0;1301;0;936;8
WithoutMetaModel;0;0;2126;0;1404;12
WithoutMetaModel;0;0;25507;0;15327;131
WithoutMetaModel;0;0;8436;0;5148;44
WithoutMetaModel;0;0;4593;0;2925;25
WithoutMetaModel;0;0;15983;0;9711;83
WithoutMetaModel;0;0;12636;0;7605;65
WithoutMetaModel;0;0;52543;0;31122;266
