method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
SVCCVBestWeighted-loo;152;151;7751;13590;9397;151
SVCCVBestWeighted-loo;3;5;279;180;289;2
SVCCVBestWeighted-loo;12;24;909;990;1043;11
SVCCVBestWeighted-loo;333;350;16587;29880;20281;332
SVCCVBestWeighted-loo;4;1;338;270;372;3
SVCCVBestWeighted-loo;129;141;6819;11520;8257;128
SVCCVBestWeighted-loo;99;100;5244;8820;6356;98
SVCCVBestWeighted-loo;158;172;8527;14130;10274;157
SVCCVBestWeighted-loo;142;127;7734;12690;9302;141
SVCCVBestWeighted-loo;283;321;14522;25380;17597;282
SVCCVBestWeighted-loo;12;46;957;990;1062;11
SVCCVBestWeighted-loo;301;295;15132;27000;18452;300
SVCCVBestWeighted-loo;302;311;15012;27090;18259;301
SVCCVBestWeighted-loo;62;91;3494;5490;4174;61
SVCCVBestWeighted-loo;11;17;794;900;910;10
SVCCVBestWeighted-loo;85;74;4706;7560;5706;84
SVCCVBestWeighted-loo;19;47;1315;1620;1508;18
SVCCVBestWeighted-loo;79;80;4363;7020;5230;78
SVCCVBestWeighted-loo;157;169;8066;14040;9880;156
SVCCVBestWeighted-loo;11;16;796;900;896;10
SVCCVBestWeighted-loo;131;137;7431;11700;8892;130
SVCCVBestWeighted-loo;406;425;20360;36450;24908;405
SVCCVBestWeighted-loo;35;48;2102;3060;2493;34
SVCCVBestWeighted-loo;269;229;13578;24120;16578;268
SVCCVBestWeighted-loo;21;38;1358;1800;1589;20
SVCCVBestWeighted-loo;170;193;9058;15210;10994;169
SVCCVBestWeighted-loo;203;222;10081;18180;12343;202
SVCCVBestWeighted-loo;100;108;5673;8910;6848;99
SVCCVBestWeighted-loo;69;94;3995;6120;4770;68
SVCCVBestWeighted-loo;19;16;1257;1620;1492;18
SVCCVBestWeighted-loo;219;184;10550;19620;13002;218
SVCCVBestWeighted-loo;118;139;6407;10530;7702;117
SVCCVBestWeighted-loo;81;106;4547;7200;5419;80
SVCCVBestWeighted-loo;104;120;5844;9270;7073;103
SVCCVBestWeighted-loo;24;46;1601;2070;1833;23
SVCCVBestWeighted-loo;23;25;1470;1980;1700;22
SVCCVBestWeighted-loo;95;109;4713;8460;5698;94
SVCCVBestWeighted-loo;116;130;6382;10350;7735;115
SVCCVBestWeighted-loo;101;112;5236;9000;6429;100
SVCCVBestWeighted-loo;199;179;9957;17820;12238;198
SVCCVBestWeighted-loo;193;172;9718;17280;11852;192
SVCCVBestWeighted-loo;155;184;8323;13860;10012;154
SVCCVBestWeighted-loo;269;264;13682;24120;16727;268
SVCCVBestWeighted-loo;35;22;1917;3060;2301;34
SVCCVBestWeighted-loo;48;76;3048;4230;3593;47
SVCCVBestWeighted-loo;6;9;469;450;521;5
SVCCVBestWeighted-loo;211;192;10877;18900;13250;210
SVCCVBestWeighted-loo;280;289;14168;25110;17215;279
SVCCVBestWeighted-loo;63;66;3504;5580;4213;62
SVCCVBestWeighted-loo;160;179;8215;14310;9963;159
SVCCVBestWeighted-loo;25;43;1630;2160;1895;24
SVCCVBestWeighted-loo;84;116;4645;7470;5565;83
SVCCVBestWeighted-loo;150;130;7822;13410;9559;149
SVCCVBestWeighted-loo;182;217;9761;16290;11752;181
SVCCVBestWeighted-loo;91;116;4950;8100;5900;90
SVCCVBestWeighted-loo;18;27;1217;1530;1424;17
SVCCVBestWeighted-loo;85;91;4683;7560;5678;84
SVCCVBestWeighted-loo;7;18;604;540;659;6
SVCCVBestWeighted-loo;200;189;10682;17910;12941;199
SVCCVBestWeighted-loo;5;13;439;360;492;4
SVCCVBestWeighted-loo;197;195;9919;17640;12089;196
SVCCVBestWeighted-loo;113;113;6020;10080;7340;112
SVCCVBestWeighted-loo;36;66;2333;3150;2687;35
SVCCVBestWeighted-loo;16;14;979;1350;1175;15
SVCCVBestWeighted-loo;315;339;15969;28260;19362;314
SVCCVBestWeighted-loo;107;111;5918;9540;7088;106
SVCCVBestWeighted-loo;42;49;2661;3690;3132;41
SVCCVBestWeighted-loo;19;37;1339;1620;1503;18
SVCCVBestWeighted-loo;107;92;6153;9540;7381;106
SVCCVBestWeighted-loo;93;106;5027;8280;6021;92
SVCCVBestWeighted-loo;52;53;3213;4590;3801;51
SVCCVBestWeighted-loo;110;106;6024;9810;7243;109
SVCCVBestWeighted-loo;12;14;892;990;1021;11
SVCCVBestWeighted-loo;266;289;12780;23850;15799;265
SVCCVBestWeighted-loo;134;137;7172;11970;8722;133
SVCCVBestWeighted-loo;88;110;4848;7830;5790;87
SVCCVBestWeighted-loo;114;102;5843;10170;7157;113
SVCCVBestWeighted-loo;254;257;12912;22770;15737;253
SVCCVBestWeighted-loo;223;240;11452;19980;13929;222
SVCCVBestWeighted-loo;19;28;1272;1620;1457;18
SVCCVBestWeighted-loo;11;24;807;900;928;10
SVCCVBestWeighted-loo;75;72;4313;6660;5136;74
SVCCVBestWeighted-loo;147;130;7662;13140;9251;146
SVCCVBestWeighted-loo;39;49;2295;3420;2706;38
SVCCVBestWeighted-loo;83;111;4543;7380;5445;82
SVCCVBestWeighted-loo;101;116;5687;9000;6769;100
SVCCVBestWeighted-loo;24;22;1388;2070;1665;23
SVCCVBestWeighted-loo;28;40;1911;2430;2222;27
SVCCVBestWeighted-loo;129;133;6829;11520;8236;128
