method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
SVCBestWeighted;388;3887;22403;34830;28982;387
SVCBestWeighted;30;267;1845;2610;2338;29
SVCBestWeighted;120;1195;7084;10710;9107;119
SVCBestWeighted;61;603;3697;5400;4717;60
SVCBestWeighted;34;295;2051;2970;2612;33
SVCBestWeighted;16;143;976;1350;1231;15
SVCBestWeighted;21;124;1247;1800;1587;20
SVCBestWeighted;68;691;4073;6030;5212;67
SVCBestWeighted;21;179;1348;1800;1688;20
SVCBestWeighted;137;1261;7949;12240;10261;136
SVCBestWeighted;65;688;4061;5760;5149;64
SVCBestWeighted;35;299;2129;3060;2707;34
SVCBestWeighted;63;574;3760;5580;4814;62
SVCBestWeighted;256;2565;14947;22950;19282;255
SVCBestWeighted;50;454;2967;4410;3800;49
SVCBestWeighted;50;487;3092;4410;3925;49
SVCBestWeighted;62;561;3679;5490;4716;61
SVCBestWeighted;12;78;815;990;1002;11
SVCBestWeighted;50;491;3074;4410;3907;49
SVCBestWeighted;111;1096;6539;9900;8409;110
SVCBestWeighted;8;68;555;630;674;7
SVCBestWeighted;96;922;5695;8550;7310;95
SVCBestWeighted;215;2079;12323;19260;15961;214
SVCBestWeighted;117;1124;6779;10440;8751;116
SVCBestWeighted;29;261;1801;2520;2277;28
SVCBestWeighted;38;379;2256;3330;2885;37
SVCBestWeighted;39;344;2385;3420;3031;38
SVCBestWeighted;84;743;4933;7470;6344;83
SVCBestWeighted;368;3615;21288;33030;27527;367
SVCBestWeighted;6;43;387;450;472;5
SVCBestWeighted;13;124;841;1080;1045;12
SVCBestWeighted;67;640;4018;5940;5140;66
SVCBestWeighted;11;81;720;900;890;10
SVCBestWeighted;65;586;3811;5760;4899;64
SVCBestWeighted;71;664;4270;6300;5460;70
SVCBestWeighted;46;449;2704;4050;3469;45
SVCBestWeighted;47;379;2672;4140;3454;46
SVCBestWeighted;103;992;6136;9180;7870;102
SVCBestWeighted;23;196;1471;1980;1845;22
SVCBestWeighted;294;3031;17020;26370;22001;293
SVCBestWeighted;127;1207;7317;11340;9459;126
SVCBestWeighted;213;2085;12351;19080;15955;212
SVCBestWeighted;11;122;744;900;914;10
SVCBestWeighted;526;5365;30505;47250;39430;525
SVCBestWeighted;126;1179;7308;11250;9433;125
SVCBestWeighted;35;286;2107;3060;2685;34
SVCBestWeighted;54;522;3192;4770;4093;53
SVCBestWeighted;100;954;5881;8910;7564;99
SVCBestWeighted;65;556;3845;5760;4933;64
SVCBestWeighted;40;398;2494;3510;3157;39
SVCBestWeighted;69;673;4219;6120;5375;68
SVCBestWeighted;546;5702;31338;49050;40603;545
SVCBestWeighted;141;1435;8410;12600;10790;140
