method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;8510;0;5265;45
WithoutMetaModel;0;0;5587;0;3510;30
WithoutMetaModel;0;0;10872;0;6669;57
WithoutMetaModel;0;0;9307;0;5616;48
WithoutMetaModel;0;0;37604;0;22230;190
WithoutMetaModel;0;0;10072;0;6201;53
WithoutMetaModel;0;0;8899;0;5382;46
WithoutMetaModel;0;0;4765;0;3042;26
WithoutMetaModel;0;0;1106;0;819;7
WithoutMetaModel;0;0;9403;0;5733;49
WithoutMetaModel;0;0;243;0;234;2
WithoutMetaModel;0;0;4756;0;2925;25
WithoutMetaModel;0;0;8040;0;4797;41
WithoutMetaModel;0;0;28124;0;16731;143
WithoutMetaModel;0;0;4264;0;2691;23
WithoutMetaModel;0;0;998;0;702;6
WithoutMetaModel;0;0;50651;0;29952;256
WithoutMetaModel;0;0;776;0;585;5
WithoutMetaModel;0;0;9309;0;5733;49
WithoutMetaModel;0;0;15044;0;9126;78
WithoutMetaModel;0;0;1949;0;1287;11
WithoutMetaModel;0;0;1101;0;819;7
WithoutMetaModel;0;0;4782;0;3042;26
WithoutMetaModel;0;0;15275;0;9126;78
WithoutMetaModel;0;0;3707;0;2340;20
WithoutMetaModel;0;0;7848;0;4914;42
WithoutMetaModel;0;0;23930;0;14274;122
WithoutMetaModel;0;0;15184;0;9243;79
WithoutMetaModel;0;0;22059;0;13221;113
WithoutMetaModel;0;0;3073;0;1989;17
WithoutMetaModel;0;0;19787;0;11817;101
WithoutMetaModel;0;0;2048;0;1404;12
WithoutMetaModel;0;0;2593;0;1755;15
WithoutMetaModel;0;0;3080;0;1989;17
WithoutMetaModel;0;0;32612;0;19539;167
WithoutMetaModel;0;0;32089;0;19188;164
WithoutMetaModel;0;0;5585;0;3510;30
WithoutMetaModel;0;0;28899;0;17082;146
WithoutMetaModel;0;0;11880;0;7254;62
WithoutMetaModel;0;0;38529;0;22815;195
WithoutMetaModel;0;0;15764;0;9594;82
WithoutMetaModel;0;0;8144;0;4914;42
WithoutMetaModel;0;0;20436;0;12402;106
WithoutMetaModel;0;0;4343;0;2808;24
WithoutMetaModel;0;0;21968;0;12987;111
WithoutMetaModel;0;0;706;0;585;5
WithoutMetaModel;0;0;9143;0;5733;49
WithoutMetaModel;0;0;33127;0;19773;169
WithoutMetaModel;0;0;11419;0;6903;59
WithoutMetaModel;0;0;12478;0;7488;64
WithoutMetaModel;0;0;24686;0;14742;126
WithoutMetaModel;0;0;27881;0;16614;142
WithoutMetaModel;0;0;72504;0;42822;366
WithoutMetaModel;0;0;3677;0;2340;20
WithoutMetaModel;0;0;19379;0;11583;99
WithoutMetaModel;0;0;21831;0;12987;111
WithoutMetaModel;0;0;5570;0;3510;30
WithoutMetaModel;0;0;5725;0;3510;30
WithoutMetaModel;0;0;3869;0;2457;21
WithoutMetaModel;0;0;913;0;702;6
WithoutMetaModel;0;0;3047;0;1989;17
WithoutMetaModel;0;0;8194;0;5031;43
WithoutMetaModel;0;0;18096;0;10881;93
WithoutMetaModel;0;0;1579;0;1053;9
WithoutMetaModel;0;0;12281;0;7488;64
WithoutMetaModel;0;0;10020;0;6201;53
WithoutMetaModel;0;0;9193;0;5616;48
WithoutMetaModel;0;0;8247;0;5148;44
WithoutMetaModel;0;0;34006;0;20124;172
WithoutMetaModel;0;0;565;0;468;4
WithoutMetaModel;0;0;2662;0;1755;15
WithoutMetaModel;0;0;12198;0;7371;63
WithoutMetaModel;0;0;31949;0;19071;163
WithoutMetaModel;0;0;9376;0;5733;49
WithoutMetaModel;0;0;942;0;702;6
WithoutMetaModel;0;0;14575;0;8775;75
WithoutMetaModel;0;0;31067;0;18369;157
WithoutMetaModel;0;0;5692;0;3510;30
WithoutMetaModel;0;0;2921;0;1872;16
WithoutMetaModel;0;0;17771;0;10647;91
WithoutMetaModel;0;0;1893;0;1287;11
WithoutMetaModel;0;0;40088;0;23751;203
WithoutMetaModel;0;0;4984;0;3159;27
WithoutMetaModel;0;0;18305;0;10881;93
WithoutMetaModel;0;0;13867;0;8307;71
WithoutMetaModel;0;0;11369;0;6903;59
WithoutMetaModel;0;0;44028;0;25857;221
WithoutMetaModel;0;0;14636;0;8775;75
WithoutMetaModel;0;0;23226;0;13806;118
WithoutMetaModel;0;0;4522;0;2925;25
WithoutMetaModel;0;0;58265;0;34749;297
WithoutMetaModel;0;0;12326;0;7488;64
WithoutMetaModel;0;0;2280;0;1521;13
WithoutMetaModel;0;0;11151;0;6903;59
WithoutMetaModel;0;0;8638;0;5265;45
WithoutMetaModel;0;0;8224;0;5031;43
WithoutMetaModel;0;0;7475;0;4563;39
WithoutMetaModel;0;0;7306;0;4563;39
WithoutMetaModel;0;0;1322;0;936;8
WithoutMetaModel;0;0;15164;0;9126;78
WithoutMetaModel;0;0;7254;0;4446;38
WithoutMetaModel;0;0;2680;0;1755;15
WithoutMetaModel;0;0;13535;0;8190;70
WithoutMetaModel;0;0;21138;0;12636;108
WithoutMetaModel;0;0;7574;0;4680;40
WithoutMetaModel;0;0;6893;0;4329;37
WithoutMetaModel;0;0;26396;0;15912;136
WithoutMetaModel;0;0;15921;0;9594;82
WithoutMetaModel;0;0;18600;0;11115;95
WithoutMetaModel;0;0;22746;0;13455;115
WithoutMetaModel;0;0;19819;0;11817;101
WithoutMetaModel;0;0;35830;0;21294;182
WithoutMetaModel;0;0;39135;0;23166;198
WithoutMetaModel;0;0;33815;0;20241;173
WithoutMetaModel;0;0;20657;0;12402;106
WithoutMetaModel;0;0;8823;0;5499;47
WithoutMetaModel;0;0;17780;0;10764;92
WithoutMetaModel;0;0;4608;0;2925;25
WithoutMetaModel;0;0;4658;0;2925;25
WithoutMetaModel;0;0;4862;0;3042;26
WithoutMetaModel;0;0;14414;0;8658;74
WithoutMetaModel;0;0;19622;0;11817;101
WithoutMetaModel;0;0;18951;0;11349;97
WithoutMetaModel;0;0;5775;0;3510;30
WithoutMetaModel;0;0;15152;0;9126;78
WithoutMetaModel;0;0;34427;0;20475;175
WithoutMetaModel;0;0;20083;0;12051;103
WithoutMetaModel;0;0;2694;0;1755;15
WithoutMetaModel;0;0;7710;0;4797;41
WithoutMetaModel;0;0;11693;0;7020;60
WithoutMetaModel;0;0;746;0;585;5
WithoutMetaModel;0;0;10602;0;6435;55
WithoutMetaModel;0;0;14839;0;9009;77
WithoutMetaModel;0;0;7022;0;4329;37
WithoutMetaModel;0;0;3830;0;2457;21
WithoutMetaModel;0;0;8070;0;4914;42
WithoutMetaModel;0;0;12728;0;7722;66
WithoutMetaModel;0;0;26355;0;15678;134
WithoutMetaModel;0;0;2744;0;1755;15
WithoutMetaModel;0;0;10741;0;6552;56
WithoutMetaModel;0;0;24726;0;14742;126
WithoutMetaModel;0;0;13500;0;8073;69
WithoutMetaModel;0;0;15260;0;9243;79
WithoutMetaModel;0;0;10166;0;6201;53
WithoutMetaModel;0;0;8416;0;5148;44
WithoutMetaModel;0;0;8978;0;5616;48
WithoutMetaModel;0;0;7966;0;4914;42
WithoutMetaModel;0;0;17782;0;10647;91
WithoutMetaModel;0;0;3528;0;2223;19
WithoutMetaModel;0;0;29983;0;17901;153
WithoutMetaModel;0;0;529;0;468;4
WithoutMetaModel;0;0;31657;0;18720;160
WithoutMetaModel;0;0;39097;0;23283;199
WithoutMetaModel;0;0;23198;0;14040;120
WithoutMetaModel;0;0;8568;0;5265;45
WithoutMetaModel;0;0;4653;0;2925;25
WithoutMetaModel;0;0;23617;0;13923;119
WithoutMetaModel;0;0;8562;0;5265;45
WithoutMetaModel;0;0;48103;0;28431;243
WithoutMetaModel;0;0;7203;0;4446;38
WithoutMetaModel;0;0;16742;0;10062;86
WithoutMetaModel;0;0;10570;0;6435;55
WithoutMetaModel;0;0;3592;0;2340;20
WithoutMetaModel;0;0;6469;0;3978;34
WithoutMetaModel;0;0;18843;0;11349;97
WithoutMetaModel;0;0;6034;0;3744;32
WithoutMetaModel;0;0;12660;0;7722;66
WithoutMetaModel;0;0;25979;0;15561;133
WithoutMetaModel;0;0;10094;0;6318;54
WithoutMetaModel;0;0;9571;0;5850;50
WithoutMetaModel;0;0;10882;0;6669;57
WithoutMetaModel;0;0;25611;0;15444;132
WithoutMetaModel;0;0;6071;0;3861;33
WithoutMetaModel;0;0;8267;0;5148;44
WithoutMetaModel;0;0;5649;0;3510;30
WithoutMetaModel;0;0;4489;0;2808;24
WithoutMetaModel;0;0;9575;0;5850;50
WithoutMetaModel;0;0;9925;0;5967;51
WithoutMetaModel;0;0;25415;0;15093;129
WithoutMetaModel;0;0;14407;0;8658;74
WithoutMetaModel;0;0;15968;0;9594;82
WithoutMetaModel;0;0;3398;0;2223;19
WithoutMetaModel;0;0;2635;0;1755;15
WithoutMetaModel;0;0;52883;0;31239;267
WithoutMetaModel;0;0;1701;0;1170;10
WithoutMetaModel;0;0;24496;0;14625;125
WithoutMetaModel;0;0;67448;0;40014;342
WithoutMetaModel;0;0;31549;0;18603;159
WithoutMetaModel;0;0;12681;0;7605;65
WithoutMetaModel;0;0;10660;0;6552;56
WithoutMetaModel;0;0;8627;0;5148;44
WithoutMetaModel;0;0;9137;0;5616;48
WithoutMetaModel;0;0;14860;0;8892;76
WithoutMetaModel;0;0;982;0;819;7
WithoutMetaModel;0;0;11549;0;6903;59
WithoutMetaModel;0;0;5960;0;3627;31
WithoutMetaModel;0;0;2476;0;1755;15
WithoutMetaModel;0;0;10997;0;6669;57
WithoutMetaModel;0;0;777;0;585;5
WithoutMetaModel;0;0;14541;0;8892;76
SVCBestSlidingWeighted;9;35;1063;400;1737;8
SVCBestSlidingWeighted;80;534;11351;3950;16871;79
SVCBestSlidingWeighted;120;849;17119;5950;25371;119
SVCBestSlidingWeighted;81;582;11494;4000;17151;80
SVCBestSlidingWeighted;83;598;11688;4100;17528;82
SVCBestSlidingWeighted;143;1006;20652;7100;30358;142
SVCBestSlidingWeighted;175;1227;25253;8700;37179;174
SVCBestSlidingWeighted;64;419;9217;3150;13540;63
SVCBestSlidingWeighted;23;119;3078;1100;4708;22
SVCBestSlidingWeighted;121;825;17182;6000;25666;120
SVCBestSlidingWeighted;59;362;8296;2900;12458;58
SVCBestSlidingWeighted;7;12;719;300;1269;6
SVCBestSlidingWeighted;36;223;4960;1750;7454;35
SVCBestSlidingWeighted;38;239;5335;1850;8017;37
SVCBestSlidingWeighted;63;444;8929;3100;13337;62
SVCBestSlidingWeighted;85;639;12373;4200;18161;84
SVCBestSlidingWeighted;192;1352;27963;9550;40859;191
SVCBestSlidingWeighted;53;412;7607;2600;11325;52
SVCBestSlidingWeighted;99;694;14082;4900;20947;98
SVCBestSlidingWeighted;174;1223;25039;8650;36893;173
SVCBestSlidingWeighted;20;112;2669;950;4128;19
SVCBestSlidingWeighted;279;1949;40517;13900;59477;278
SVCBestSlidingWeighted;159;1104;22721;7900;33643;158
SVCBestSlidingWeighted;86;640;12525;4250;18391;85
SVCBestSlidingWeighted;92;699;13206;4550;19426;91
SVCBestSlidingWeighted;103;721;14892;5100;21904;102
SVCBestSlidingWeighted;30;170;4035;1450;6234;29
SVCBestSlidingWeighted;4;15;399;150;726;3
SVCBestSlidingWeighted;292;1973;41693;14550;61807;291
SVCBestSlidingWeighted;56;358;7927;2750;11807;55
SVCBestSlidingWeighted;22;110;2885;1050;4456;21
SVCBestSlidingWeighted;131;906;18978;6500;27921;130
SVCBestSlidingWeighted;40;240;5364;1950;8244;39
SVCBestSlidingWeighted;109;744;15610;5400;23146;108
SVCBestSlidingWeighted;103;727;14696;5100;21789;102
SVCBestSlidingWeighted;19;89;2390;900;3813;18
