method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
WithoutMetaModel;0;0;6917;0;4329;37
WithoutMetaModel;0;0;3871;0;2457;21
WithoutMetaModel;0;0;37387;0;22113;189
WithoutMetaModel;0;0;7790;0;4797;41
WithoutMetaModel;0;0;11688;0;7137;61
WithoutMetaModel;0;0;7983;0;4914;42
WithoutMetaModel;0;0;33868;0;20241;173
WithoutMetaModel;0;0;6974;0;4329;37
WithoutMetaModel;0;0;10907;0;6669;57
WithoutMetaModel;0;0;5065;0;3159;27
WithoutMetaModel;0;0;12004;0;7254;62
WithoutMetaModel;0;0;3012;0;1989;17
WithoutMetaModel;0;0;2088;0;1404;12
WithoutMetaModel;0;0;15477;0;9360;80
WithoutMetaModel;0;0;6606;0;4095;35
WithoutMetaModel;0;0;10095;0;6084;52
WithoutMetaModel;0;0;25918;0;15444;132
WithoutMetaModel;0;0;26505;0;15678;134
WithoutMetaModel;0;0;44279;0;26208;224
WithoutMetaModel;0;0;6230;0;3978;34
WithoutMetaModel;0;0;28745;0;17082;146
WithoutMetaModel;0;0;10606;0;6435;55
WithoutMetaModel;0;0;22557;0;13572;116
WithoutMetaModel;0;0;6792;0;4329;37
WithoutMetaModel;0;0;6166;0;3861;33
WithoutMetaModel;0;0;3645;0;2340;20
WithoutMetaModel;0;0;1657;0;1170;10
WithoutMetaModel;0;0;39594;0;23517;201
WithoutMetaModel;0;0;764;0;585;5
WithoutMetaModel;0;0;20408;0;12285;105
WithoutMetaModel;0;0;11026;0;6786;58
WithoutMetaModel;0;0;36329;0;21645;185
WithoutMetaModel;0;0;45364;0;27027;231
WithoutMetaModel;0;0;1149;0;819;7
WithoutMetaModel;0;0;9380;0;5850;50
WithoutMetaModel;0;0;43622;0;26091;223
WithoutMetaModel;0;0;3445;0;2223;19
WithoutMetaModel;0;0;35710;0;21177;181
WithoutMetaModel;0;0;101115;0;59670;510
WithoutMetaModel;0;0;3182;0;1989;17
WithoutMetaModel;0;0;12833;0;7839;67
WithoutMetaModel;0;0;28864;0;17433;149
WithoutMetaModel;0;0;9821;0;6084;52
WithoutMetaModel;0;0;9530;0;5850;50
WithoutMetaModel;0;0;6816;0;4212;36
WithoutMetaModel;0;0;8711;0;5382;46
WithoutMetaModel;0;0;44110;0;26325;225
WithoutMetaModel;0;0;21938;0;13221;113
WithoutMetaModel;0;0;31018;0;18603;159
WithoutMetaModel;0;0;15795;0;9594;82
SVCBestWeighted;359;1671;27696;17900;33782;358
SVCBestWeighted;9;34;742;400;878;8
SVCBestWeighted;41;215;3266;2000;3946;40
SVCBestWeighted;134;667;10446;6650;12707;133
SVCBestWeighted;14;47;1108;650;1329;13
SVCBestWeighted;65;287;5070;3200;6158;64
SVCBestWeighted;29;130;2344;1400;2820;28
SVCBestWeighted;228;1105;17657;11350;21516;227
SVCBestWeighted;102;467;8030;5050;9747;101
SVCBestWeighted;263;1385;20472;13100;24926;262
SVCBestWeighted;26;120;2112;1250;2537;25
SVCBestWeighted;22;101;1732;1050;2089;21
SVCBestWeighted;14;35;1104;650;1325;13
SVCBestWeighted;147;728;11382;7300;13864;146
SVCBestWeighted;55;225;4259;2700;5177;54
SVCBestWeighted;346;1592;26616;17250;32481;345
SVCBestWeighted;70;308;5533;3450;6706;69
SVCBestWeighted;206;978;15958;10250;19443;205
SVCBestWeighted;193;903;14889;9600;18153;192
SVCBestWeighted;168;811;12980;8350;15819;167
SVCBestWeighted;79;383;6227;3900;7553;78
SVCBestWeighted;466;2229;36014;23250;43919;465
SVCBestWeighted;83;430;6506;4100;7900;82
SVCBestWeighted;56;245;4428;2750;5363;55
SVCBestWeighted;28;128;2295;1350;2754;27
SVCBestWeighted;100;479;7797;4950;9480;99
SVCBestWeighted;458;2177;35410;22850;43179;457
SVCBestWeighted;33;131;2615;1600;3159;32
SVCBestWeighted;99;478;7772;4900;9438;98
SVCBestWeighted;78;360;6053;3850;7362;77
SVCBestWeighted;49;241;3857;2400;4673;48
SVCBestWeighted;211;984;16328;10500;19898;210
SVCBestWeighted;103;501;8080;5100;9814;102
SVCBestWeighted;145;687;11257;7200;13705;144
SVCBestWeighted;42;210;3326;2050;4023;41
SVCBestWeighted;251;1237;19546;12500;23796;250
SVCBestWeighted;62;314;4876;3050;5913;61
SVCBestWeighted;68;363;5350;3350;6489;67
SVCBestWeighted;265;1247;20405;13200;24893;264
SVCBestWeighted;584;2779;44744;29150;54655;583
SVCBestWeighted;353;1672;27236;17600;33220;352
SVCBestWeighted;70;301;5457;3450;6630;69
SVCBestWeighted;243;1161;18761;12100;22875;242
SVCBestWeighted;37;185;2951;1800;3563;36
SVCBestWeighted;344;1630;26487;17150;32318;343
SVCBestWeighted;336;1649;25975;16750;31670;335
SVCBestWeighted;303;1437;23265;15100;28399;302
SVCBestWeighted;32;159;2580;1550;3107;31
SVCBestWeighted;21;78;1678;1000;2018;20
SVCBestWeighted;462;2131;35536;23050;43373;461
